daily_views_yesterday,channel_title,description,title,all_views,dislikes,published_at,category_id,has_yesterday,channel_id,comment_count,href,likes,created_date,daily_views_today,_id,id,favorite_count,update_video_data
10000.0,,,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (Olodum Mix),,,,,,,,https://www.youtube.com/watch?v=TGtWWb9emYI,,2016-05-18 10:27:41.752000,,573c045548ff165ea180b985,TGtWWb9emYI,,2016-06-05 04:31:00
10000.0,,,Finger Family Collection - 7 Finger Family Songs - Daddy Finger Nursery Rhymes,,,,,,,,https://www.youtube.com/watch?v=YJyNoFkud6g,,2016-05-18 10:27:41.752000,,573c045548ff165ea180b986,YJyNoFkud6g,,2016-06-05 04:31:00
10000.0,,,Christina Perri - A Thousand Years [Official Music Video],,,,,,,,https://www.youtube.com/watch?v=rtOvBOTyX00,,2016-05-18 10:27:41.753000,,573c045548ff165ea180b988,rtOvBOTyX00,,2016-06-05 04:31:00
10000.0,,,Five Little Ducks | Plus Lots More Children's Songs | 74 Minutes Compilation from LittleBabyBum!,,,,,,,,https://www.youtube.com/watch?v=tFoUuFq3vHw,,2016-05-18 10:27:41.753000,,573c045548ff165ea180b98a,tFoUuFq3vHw,,2016-06-05 04:31:00
10000.0,,,ABC SONG | ABC Songs for Children - 13 Alphabet Songs & 26 Videos,,,,,,,,https://www.youtube.com/watch?v=_UR-l3QI2nE,,2016-05-18 10:27:41.754000,,573c045548ff165ea180b98d,_UR-l3QI2nE,,2016-06-05 04:31:00
10000.0,,,DORA The Explorer Guitar Toys ❤ Gitar Mainan Anak - Kids Toy,,,,,,,,https://www.youtube.com/watch?v=opWVjiUPsBQ,,2016-05-18 10:27:46.578000,,573c045a48ff165ea180b991,opWVjiUPsBQ,,2016-06-05 04:31:00
10000.0,,,Sancak - Dili Yok ki Gönlümün (Feat. Gitar Barış),,,,,,,,https://www.youtube.com/watch?v=HPNKdOfA7is,,2016-05-18 10:27:46.579000,,573c045a48ff165ea180b992,HPNKdOfA7is,,2016-06-05 04:31:00
10000.0,,,Kırık Gitar-Gözlerime Çizdim Seni,,,,,,,,https://www.youtube.com/watch?v=ItxTdCJJWJ4,,2016-05-18 10:27:46.580000,,573c045a48ff165ea180b993,ItxTdCJJWJ4,,2016-06-05 04:31:00
10000.0,,,ROMANTIC GUITAR MUSIC Relaxing Instrumental Acoustic Classical Songs Classic Playlist Gitar akustik,,,,,,,,https://www.youtube.com/watch?v=njBOWJwTHvY,,2016-05-18 10:27:46.581000,,573c045a48ff165ea180b994,njBOWJwTHvY,,2016-06-05 04:31:00
10000.0,,,bu şehir girdap gülüm ALPER ŞEKEROĞLU (NEY ve GİTAR),,,,,,,,https://www.youtube.com/watch?v=_rfKsIRcKZA,,2016-05-18 10:27:46.581000,,573c045a48ff165ea180b995,_rfKsIRcKZA,,2016-06-05 04:31:00
10000.0,,,berkin murat gitar sanadır yar,,,,,,,,https://www.youtube.com/watch?v=BBVR5SYtEGo,,2016-05-18 10:27:46.581000,,573c045a48ff165ea180b996,BBVR5SYtEGo,,2016-06-05 04:31:00
10000.0,,,JIN MENJERIT DALAM MASJID DI TUNISIA...gemparrrrrrrrrrr !!!!!,,,,,,,,https://www.youtube.com/watch?v=saMLTMGaZz0,,2016-05-18 10:27:46.582000,,573c045a48ff165ea180b997,saMLTMGaZz0,,2016-06-05 04:31:00
